Lat,Lon,Alt (m)
78.68886756,-90.71241725,944
78.68886756,-89.81410196,974
78.68886756,-88.91578668,60
78.68886756,-86.22084083,463
78.68886756,-85.32252554,486
78.68886756,-84.42421026,354
78.68886756,-83.52589497,410
78.68886756,-81.72926441,289
78.68886756,-80.83094912,1227
78.68886756,-79.93263384,1440
78.68886756,-79.03431855,577
78.68886756,-78.13600327,726
78.68886756,-77.23768799,1431
78.68886756,-76.3393727,862
78.68886756,-75.44105742,348
78.51131391,-112.2719841,7
78.51131391,-111.3736688,40
78.51131391,-110.4753535,64
78.51131391,-109.5770382,28
78.51131391,-104.1871465,15
78.51131391,-103.2888312,10
78.51131391,-102.3905159,129
78.51131391,-101.4922007,154
78.51131391,-100.5938854,43
78.51131391,-99.69557009,44
78.51131391,-97.89893952,91
78.51131391,-97.00062424,142
78.51131391,-91.61073253,275
78.51131391,-90.71241725,800
78.51131391,-89.81410196,29
78.51131391,-88.91578668,514
78.51131391,-88.01747139,458
78.51131391,-87.11915611,285
78.51131391,-86.22084083,581
78.51131391,-85.32252554,658
78.51131391,-84.42421026,512
78.51131391,-83.52589497,679
78.51131391,-82.62757969,220
78.51131391,-81.72926441,320
78.51131391,-80.83094912,954
78.51131391,-79.93263384,1428
78.51131391,-79.03431855,1417
78.51131391,-78.13600327,1345
78.51131391,-77.23768799,328
78.33101119,-113.1702994,3
78.33101119,-111.3736688,9
78.33101119,-110.4753535,23
78.33101119,-109.5770382,18
78.33101119,-104.1871465,76
78.33101119,-102.3905159,60
78.33101119,-101.4922007,75
78.33101119,-100.5938854,91
78.33101119,-97.89893952,11
78.33101119,-97.00062424,50
78.33101119,-96.10230895,82
78.33101119,-95.20399367,59
78.33101119,-92.50904782,185
78.33101119,-91.61073253,182
78.33101119,-89.81410196,712
78.33101119,-88.91578668,72
78.33101119,-87.11915611,481
78.33101119,-86.22084083,465
78.33101119,-85.32252554,563
78.33101119,-84.42421026,430
78.33101119,-83.52589497,495
78.33101119,-82.62757969,412
78.33101119,-81.72926441,473
78.33101119,-80.83094912,1221
78.33101119,-79.93263384,1388
78.33101119,-79.03431855,1265
78.33101119,-78.13600327,1240
78.33101119,-77.23768799,1232
78.33101119,-76.3393727,1197
78.33101119,-75.44105742,849
78.14791866,-103.2888312,6
78.14791866,-100.5938854,27
78.14791866,-99.69557009,96
78.14791866,-96.10230895,57
78.14791866,-95.20399367,33
78.14791866,-90.71241725,49
78.14791866,-87.11915611,275
78.14791866,-84.42421026,907
78.14791866,-83.52589497,380
78.14791866,-82.62757969,436
78.14791866,-81.72926441,339
78.14791866,-80.83094912,1386
78.14791866,-79.93263384,837
78.14791866,-79.03431855,1117
78.14791866,-78.13600327,1216
78.14791866,-77.23768799,823
77.96199503,-114.0686146,2
77.96199503,-112.2719841,5
77.96199503,-111.3736688,62
77.96199503,-110.4753535,21
77.96199503,-100.5938854,22
77.96199503,-99.69557009,106
77.96199503,-97.00062424,25
77.96199503,-96.10230895,27
77.96199503,-95.20399367,2
77.96199503,-85.32252554,466
77.96199503,-84.42421026,768
77.96199503,-83.52589497,271
77.96199503,-81.72926441,470
77.96199503,-80.83094912,1407
77.96199503,-79.93263384,1002
77.96199503,-79.03431855,782
77.96199503,-77.23768799,507
77.77319854,-114.0686146,39
77.77319854,-113.1702994,24
77.77319854,-112.2719841,50
77.77319854,-111.3736688,36
77.77319854,-102.3905159,14
77.77319854,-101.4922007,111
77.77319854,-88.01747139,15
77.77319854,-87.11915611,192
77.77319854,-86.22084083,33
77.77319854,-84.42421026,9
