Station,Lat,Long,Alt,Date,O18Avg,H2avg,dex,Precipitation (kg/m^2/s),Temperature (K)
HAL,68.47,81.15,8.0,1992-10-02,-19.38,-143.4,11.639999999999986,2.8333901354926638e-05,282.87652587890625
CAM,69.6,105.8,27.0,1992-10-02,-21.14,-157.7,11.420000000000016,3.1583513191435486e-05,273.5205078125
HAL,68.47,81.15,8.0,1992-11-02,-32.03,-243.8,12.439999999999998,2.3620730189577444e-06,259.1324462890625
RES,74.43,94.59,67.0,1992-11-02,-26.13,-196.5,12.539999999999992,2.9225819162093103e-05,258.15045166015625
CAM,69.6,105.8,27.0,1992-11-02,-29.46,-223.5,12.180000000000007,1.2877812878286932e-05,249.407470703125
CAM,69.6,105.8,27.0,1992-12-02,-32.96,-249.9,13.780000000000001,0.0,247.2879638671875
HAL,68.47,81.15,8.0,1992-12-02,-34.27,-259.3,14.860000000000014,2.460388350300491e-05,260.76513671875
RES,74.43,94.59,67.0,1992-12-02,-29.91,-220.9,18.379999999999995,2.0473783024499426e-06,248.14871215820312
HAL,68.47,81.15,8.0,1993-01-02,-39.11,-301.4,11.480000000000018,0.0,233.61114501953125
CAM,69.6,105.8,27.0,1993-01-02,-31.05,-243.7,4.700000000000017,1.861247801571153e-05,240.48243713378906
RES,74.43,94.59,67.0,1993-01-02,-32.2,-246.2,11.400000000000034,0.0,243.47311401367188
RES,74.43,94.59,67.0,1993-02-02,-38.71,-303.9,5.78000000000003,0.0,241.4890594482422
CAM,69.6,105.8,27.0,1993-02-02,-32.33,-246.1,12.539999999999992,0.0,233.20884704589844
HAL,68.47,81.15,8.0,1993-02-02,-33.14,-245.5,19.620000000000005,6.992117505433271e-06,244.28741455078125
CAM,69.6,105.8,27.0,1993-03-02,-27.07,-203.5,13.060000000000002,0.0,235.64833068847656
RES,74.43,94.59,67.0,1993-03-02,-27.48,-204.6,15.240000000000009,0.0,232.68600463867188
HAL,68.47,81.15,8.0,1993-03-02,-33.63,-253.4,15.640000000000015,0.0,237.310791015625
RES,74.43,94.59,67.0,1993-04-02,-34.03,-249.4,22.840000000000003,0.0,246.452880859375
CAM,69.6,105.8,27.0,1993-04-02,-26.58,-195.2,17.439999999999998,0.0,247.88824462890625
HAL,68.47,81.15,8.0,1993-04-02,-34.69,-265.9,11.620000000000005,0.0,262.1946716308594
CAM,69.6,105.8,27.0,1993-05-02,-15.67,-115.7,9.659999999999997,4.930203431285918e-06,255.50823974609375
RES,74.43,94.59,67.0,1993-05-02,-19.86,-145.3,13.579999999999984,0.0,256.5487060546875
HAL,68.47,81.15,8.0,1993-05-02,-18.99,-140.5,11.419999999999987,0.0,259.90155029296875
CAM,69.6,105.8,27.0,1993-06-02,-20.17,-153.9,7.460000000000008,7.605469818372512e-06,271.7940979003906
HAL,68.47,81.15,8.0,1993-06-02,-19.01,-143.5,8.580000000000013,0.0,272.7342834472656
RES,74.43,94.59,67.0,1993-06-02,-23.52,-179.5,8.659999999999997,1.9288148905616254e-05,272.05621337890625
RES,74.43,94.59,67.0,1993-07-02,-17.46,-136.8,2.8799999999999955,5.782186690339586e-06,280.5594787597656
HAL,68.47,81.15,8.0,1993-07-02,-14.39,-109.7,5.420000000000002,6.6217893618159e-05,283.90673828125
CAM,69.6,105.8,27.0,1993-07-02,-17.29,-135.4,2.9199999999999875,0.0,284.6350402832031
CAM,69.6,105.8,27.0,1993-08-02,-16.9,-131.0,4.199999999999989,0.0,285.2022399902344
HAL,68.47,81.15,8.0,1993-08-02,-16.41,-124.7,6.579999999999998,0.0,279.45819091796875
RES,74.43,94.59,67.0,1993-08-02,-17.42,-148.8,-9.439999999999998,1.822749436541926e-05,276.47320556640625
CAM,69.6,105.8,27.0,1993-09-02,-21.63,-161.1,11.939999999999998,2.3313357814913616e-05,276.7062683105469
HAL,68.47,81.15,8.0,1993-09-02,-18.84,-138.8,11.919999999999987,1.8664401068235748e-05,282.1429443359375
RES,74.43,94.59,67.0,1993-09-02,-20.34,-149.8,12.919999999999987,1.0760050827229861e-05,274.5941467285156
CAM,69.6,105.8,27.0,1993-10-02,-24.06,-182.7,9.780000000000001,7.945015568111558e-06,268.8338317871094
HAL,68.47,81.15,8.0,1993-10-02,-23.45,-174.7,12.900000000000006,9.677213711256627e-06,269.34161376953125
RES,74.43,94.59,67.0,1993-10-02,-23.14,-167.0,18.120000000000005,7.118880603229627e-06,269.1093444824219
CAM,69.6,105.8,27.0,1993-11-02,-32.03,-241.6,14.640000000000015,0.0,251.7256317138672
HAL,68.47,81.15,8.0,1993-11-02,-34.92,-270.9,8.460000000000036,5.843492181156762e-05,269.633544921875
RES,74.43,94.59,67.0,1993-11-02,-31.23,-233.7,16.140000000000015,0.0,250.1847381591797
RES,74.43,94.59,67.0,1993-12-02,-38.73,-292.3,17.539999999999964,3.518171979521867e-06,253.1156005859375
HAL,68.47,81.15,8.0,1993-12-02,-33.34,-243.7,23.02000000000004,0.0,251.48448181152344
CAM,69.6,105.8,27.0,1993-12-02,-32.02,-245.0,11.160000000000025,0.0,249.48411560058594
HAL,68.47,81.15,8.0,1994-01-02,-33.31708333333334,-259.1516666666667,7.385000000000048,5.868912012374494e-06,243.51942443847656
RES,74.43,94.59,67.0,1994-01-02,-35.391000000000005,-276.585,6.543000000000063,5.199394763621967e-06,246.02757263183594
CAM,69.6,105.8,27.0,1994-01-02,-38.65,-301.25,7.949999999999989,0.0,239.44403076171875
CAM,69.6,105.8,27.0,1994-02-02,-41.23,-328.5,1.339999999999975,0.0,243.9175262451172
HAL,68.47,81.15,8.0,1994-02-02,-37.19,-277.6,19.91999999999996,1.2489284017647151e-05,247.85096740722656
RES,74.43,94.59,67.0,1994-02-02,-38.96,-298.15,13.53000000000003,1.6894751752261072e-05,249.24728393554688
RES,74.43,94.59,67.0,1994-03-02,-32.96,-256.4,7.28000000000003,0.0,239.4891815185547
HAL,68.47,81.15,8.0,1994-03-02,-31.59,-243.0,9.719999999999999,0.0,253.1859588623047
CAM,69.6,105.8,27.0,1994-03-02,-26.89,-204.7,10.420000000000016,0.0,235.6905975341797
RES,74.43,94.59,67.0,1994-04-02,-30.6,-233.2,11.600000000000023,4.086234184796922e-06,250.77964782714844
CAM,69.6,105.8,27.0,1994-04-02,-28.64,-216.1,13.02000000000001,0.0,248.0521697998047
HAL,68.47,81.15,8.0,1994-04-02,-21.88,-162.1,12.939999999999998,0.0,244.9456024169922
CAM,69.6,105.8,27.0,1994-05-02,-20.96,-157.8,9.879999999999995,0.0,263.5474853515625
HAL,68.47,81.15,8.0,1994-05-02,-19.92,-150.5,8.860000000000014,5.887505176360719e-05,258.0843505859375
RES,74.43,94.59,67.0,1994-05-02,-23.11,-186.4,-1.5200000000000102,0.0,256.5430908203125
RES,74.43,94.59,67.0,1994-06-02,-22.485,-169.3,10.579999999999984,3.616113190219039e-06,268.9723205566406
CAM,69.6,105.8,27.0,1994-06-02,-17.52,-137.05,3.109999999999985,0.0,275.0378112792969
HAL,68.47,81.15,8.0,1994-06-02,-21.92,-166.4,8.960000000000008,4.004197762697004e-05,276.77362060546875
RES,74.43,94.59,67.0,1994-07-02,-18.685000000000002,-145.0,4.480000000000018,0.0,277.4970703125
CAM,69.6,105.8,27.0,1994-07-02,-19.29,-150.6,3.719999999999999,1.246533702214947e-05,280.59234619140625
HAL,68.47,81.15,8.0,1994-07-02,-16.48,-129.7,2.140000000000015,4.836485913983779e-06,284.0852966308594
CAM,69.6,105.8,27.0,1994-08-02,-16.56,-125.5,6.97999999999999,1.6380803572246805e-05,286.1845703125
HAL,68.47,81.15,8.0,1994-08-02,-16.458,-128.9395,2.7244999999999777,0.0,282.8659973144531
RES,74.43,94.59,67.0,1994-08-02,-16.854999999999997,-132.7,2.1399999999999864,0.0,278.3205261230469
CAM,69.6,105.8,27.0,1994-09-02,-16.88,-127.8,7.239999999999995,2.272401616210118e-05,273.32183837890625
HAL,68.47,81.15,8.0,1994-09-02,-12.78,-95.5,6.739999999999995,0.0,279.02520751953125
RES,74.43,94.59,67.0,1994-09-02,-19.895,-147.1,12.060000000000002,0.0,273.2980041503906
CAM,69.6,105.8,27.0,1994-10-02,-20.15,-149.45,11.75,2.293339821335394e-05,268.2332763671875
HAL,68.47,81.15,8.0,1994-10-02,-17.34,-128.7,10.02000000000001,1.8214308511232957e-05,273.388671875
RES,74.43,94.59,67.0,1994-10-02,-23.33,-173.5,13.139999999999986,2.311829121026676e-05,266.0231628417969
RES,74.43,94.59,67.0,1994-11-02,-23.01,-172.1,11.980000000000018,0.0,247.7774658203125
HAL,68.47,81.15,8.0,1994-11-02,-24.42,-183.75,11.610000000000014,2.762083568086382e-05,273.89324951171875
CAM,69.6,105.8,27.0,1994-11-02,-26.64,-199.2,13.920000000000016,0.0,242.3238525390625
RES,74.43,94.59,67.0,1994-12-02,-33.25,-252.3,13.699999999999989,0.0,231.6802978515625
HAL,68.47,81.15,8.0,1994-12-02,-29.02,-218.1,14.060000000000002,3.882466899085557e-06,236.20126342773438
CAM,69.6,105.8,27.0,1994-12-02,-32.22625,-248.46166666666662,9.348333333333386,0.0,222.1591033935547
CAM,69.6,105.8,27.0,1995-01-02,-30.84,-232.3,14.419999999999987,0.0,238.87449645996094
HAL,68.47,81.15,8.0,1995-01-02,-27.965,-205.1,18.620000000000005,3.986445790360449e-06,250.0774688720703
RES,74.43,94.59,67.0,1995-01-02,-32.43,-244.2,15.240000000000009,4.5587435124616604e-06,244.93943786621094
HAL,68.47,81.15,8.0,1995-02-02,-30.3,-226.5,15.900000000000006,4.681105110648787e-06,257.17999267578125
RES,74.43,94.59,67.0,1995-02-02,-33.29,-256.54999999999995,9.770000000000039,0.0,240.41305541992188
CAM,69.6,105.8,27.0,1995-02-02,-32.61,-248.4,12.47999999999999,0.0,244.58340454101562
HAL,68.47,81.15,8.0,1995-03-02,-30.6,-231.41899999999995,13.381000000000057,2.1315850972314365e-05,262.25933837890625
CAM,69.6,105.8,27.0,1995-03-02,-33.4,-252.8,14.399999999999977,1.6034664440667257e-05,261.8836669921875
RES,74.43,94.59,67.0,1995-03-02,-38.415,-285.25,22.069999999999993,2.2708604774379637e-06,247.43247985839844
RES,74.43,94.59,67.0,1995-04-02,-30.959444444444443,-236.3422222222222,11.333333333333343,2.7193029836780624e-06,245.3267822265625
CAM,69.6,105.8,27.0,1995-04-02,-29.32,-222.2,12.360000000000014,1.5312327377614565e-05,254.94174194335938
HAL,68.47,81.15,8.0,1995-04-02,-26.965999999999998,-203.58499999999998,12.143,0.0,251.3798370361328
HAL,68.47,81.15,8.0,1995-05-02,-20.035,-148.49333333333334,11.786666666666662,6.379230399033986e-06,262.9604797363281
CAM,69.6,105.8,27.0,1995-05-02,-27.41,-211.6,7.680000000000007,4.9961081458604895e-06,260.2342834472656
RES,74.43,94.59,67.0,1995-05-02,-25.182727272727274,-192.68727272727273,8.77454545454546,1.2623049769899808e-05,259.2100830078125
CAM,69.6,105.8,27.0,1995-06-02,-15.4,-112.9,10.299999999999997,0.0,268.8231506347656
HAL,68.47,81.15,8.0,1995-06-02,-20.17833333333333,-153.31499999999997,8.111666666666679,0.0,269.41278076171875
RES,74.43,94.59,67.0,1995-06-02,-20.905,-159.5,7.740000000000009,0.0,264.7481384277344
HAL,68.47,81.15,8.0,1995-07-02,-14.681999999999999,-112.94050000000001,4.5154999999999745,6.651659532508347e-06,283.2592468261719
RES,74.43,94.59,67.0,1995-07-02,-18.49,-144.1,3.819999999999993,0.0,273.0848388671875
CAM,69.6,105.8,27.0,1995-07-02,-16.49,-123.7,8.219999999999985,0.0,277.7586975097656
RES,74.43,94.59,67.0,1995-08-02,-12.83,-102.8,-0.1599999999999966,0.0,277.4872131347656
CAM,69.6,105.8,27.0,1995-08-02,-19.38,-145.6,9.439999999999998,9.425076314073522e-06,288.23516845703125
HAL,68.47,81.15,8.0,1995-08-02,-16.458,-128.9395,2.7244999999999777,2.4533715986763127e-05,292.9029541015625
HAL,68.47,81.15,8.0,1995-09-02,-20.79,-157.5,8.819999999999993,5.220103957981337e-06,280.0990905761719
RES,74.43,94.59,67.0,1995-09-02,-18.73,-145.3,4.539999999999992,0.0,272.54461669921875
CAM,69.6,105.8,27.0,1995-09-02,-20.25,-152.4,9.599999999999994,7.396287401206791e-06,271.9140625
CAM,69.6,105.8,27.0,1995-10-02,-21.1,-155.9,12.900000000000006,0.0,260.4872741699219
RES,74.43,94.59,67.0,1995-10-02,-23.1,-175.1,9.700000000000017,3.0088044695730787e-06,260.99560546875
HAL,68.47,81.15,8.0,1995-10-02,-21.05,-155.2,13.200000000000017,0.0,265.9723815917969
